koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag
CONFIRMED,4.959319244,172.2585292,0.831,2.22739,9.80E+03,0.103379,1.46169,12.21,0.0565,86.15,269,5712,4.359,0.1,1.082,0.976,15.263,15.715,15.209,15.069,15.041,14.123,13.815,13.805
FALSE POSITIVE,2.701287801,170.69579,1.016,3.3827,8.60E+02,0.06584,0.02818,6.54,0.0365,62.69,387,5550,4.468,-0.04,0.91,0.889,15.54,16.164,15.463,15.272,15.182,14.09,13.724,13.742
CONFIRMED,4.49876511,171.34905,0.312,3.7362,4.60E+02,0.019817,0.67106,2.1,0.0542,88,238,6075,4.486,-0.12,0.969,1.048,15.395,15.874,15.335,15.19,15.084,14.199,13.853,13.807
FALSE POSITIVE,19.65120951,179.401981,0.723,5.2514,1.18E+04,0.106953,0.67559,12.42,0.1433,88.27,59,6074,4.391,-0.12,1.063,1.014,15.536,16.02,15.488,15.329,15.243,14.322,14.024,13.921
CONFIRMED,5.412203927,133.143089,0.787,2.9472,6.02E+02,0.024775,0.51087,2.94,0.0591,85.12,244,5779,4.339,-0.06,1.087,0.941,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503
CONFIRMED,41.43958662,208.93203,0.355,10.5989,2.79E+03,0.048175,0.28189,5.5,0.2288,89.31,33,5468,4.367,0.22,1.046,0.93,15.4,16.068,15.32,15.114,14.996,13.948,13.596,13.519
CONFIRMED,8.35389523,171.63257,0.023,2.2514,1.04E+03,0.029305,6.73215,2.52,0.0768,89.95,127,5592,4.582,-0.28,0.787,0.862,15.317,15.862,15.267,15.083,14.985,13.996,13.582,13.533
CONFIRMED,4.125543472,169.752585,0.597,3.1744,1.49E+03,0.036796,0.67162,4.43,0.0529,85.95,323,6174,4.417,0.1,1.103,1.162,15.506,15.977,15.453,15.305,15.253,14.38,14.083,14.198
CONFIRMED,2.816504904,170.9676846,0.105,2.50587,1.68E+04,0.117059,2.09079,12.21,0.0383,89.37,474,5532,4.452,0.14,0.955,0.941,15.052,15.636,14.988,14.802,14.685,13.732,13.393,13.315
FALSE POSITIVE,33.93373447,186.67608,0.812,14.561,8.50E+03,0.095386,0.0371,7.34,0.1881,86.45,31,5040,4.628,-0.24,0.705,0.782,15.716,16.453,15.673,15.4,15.253,14.249,13.732,13.748
CONFIRMED,3.689920099,170.36571,0.151,2.6557,4.27E+02,0.018878,1.70798,1.89,0.0469,89.19,360,5880,4.518,-0.06,0.917,1.01,15.242,15.735,15.177,15.031,14.969,14.012,13.72,13.764
CONFIRMED,4.431238488,171.015,0.405,3.15,1.01E+03,0.02933,1.01996,3.25,0.0529,87.72,302,5714,4.428,0.16,1.015,1.007,15.367,15.912,15.311,15.133,15.081,14.179,13.799,13.765
CONFIRMED,11.37936986,133.84992,0.911,2.6255,1.02E+03,0.035628,0.63438,3.95,0.0993,86.8,109,5714,4.428,0.16,1.015,1.007,15.367,15.912,15.311,15.133,15.081,14.179,13.799,13.765
CONFIRMED,26.39432897,176.05459,0.602,3.573,1.51E+03,0.03681,2.93923,3.07,0.1635,89.28,51,5129,4.595,0.02,0.763,0.846,15.234,15.956,15.16,14.924,14.816,13.757,13.272,13.172
CONFIRMED,13.57078281,136.279194,0.866,3.3539,5.12E+02,0.023908,0.49865,2.64,0.1096,87.07,101,5854,4.406,-0.12,1.012,0.951,12.882,13.293,12.85,12.706,12.646,11.752,11.494,11.431
CONFIRMED,7.12594387,139.00492,0.898,3.0014,1.92E+02,0.01512,0.23879,1.79,0.0711,84.02,181,5779,4.339,-0.06,1.087,0.941,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503
FALSE POSITIVE,7.442652004,169.9717797,0.137,2.3078,2.44E+04,0.143936,7.48712,15.03,0.0742,89.72,180,6108,4.469,-0.3,0.956,0.981,15.27,15.712,15.224,15.08,14.994,14.143,13.789,13.699
CONFIRMED,16.38489988,172.72782,0.001,3.0249,1.13E+03,0.029758,5.4538,2,0.1084,90,65,4126,4.661,0.04,0.615,0.633,15.095,16.328,15.068,14.567,14.305,13.153,12.507,12.36
