koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag
CANDIDATE,75.2116373,202.30222,0.058,3.203,3.63E+02,0.017266,20.22238,2.83,0.3708,89.98,16,5818,4.165,0.28,1.5,1.2,14.39,14.803,14.336,14.213,14.164,13.284,12.981,12.908
CANDIDATE,6.36283414,131.8069,0.141,3.752,1.59E+02,0.011578,1.02437,1.12,0.0666,89.38,160,5955,4.534,-0.24,0.883,0.972,15.567,16.051,15.525,15.36,15.3,14.385,14.052,13.949
CANDIDATE,7.53737498,135.80956,0.225,3.966,4.11E+01,0.005934,0.96345,0.93,0.0802,89.1,178,6483,4.206,-0.16,1.436,1.212,12.912,13.211,12.842,12.784,,12.165,11.922,11.909
FALSE POSITIVE,1.09844642,132.4402,0.727,1.528,4.50E+01,0.006626,0.93906,1.73,0.0224,79.29,971,6403,3.772,-0.5,2.391,1.233,13.19,13.532,13.156,13.043,13.002,12.123,11.853,11.846
FALSE POSITIVE,25.94947,148.9734,0.678,15.7,2.38E+02,0.014952,0.02462,1.22,0.1613,85.94,36,5348,4.609,-0.24,0.748,0.838,15.908,16.593,15.864,15.615,15.468,14.518,14.061,13.87
CANDIDATE,7.57600886,135.6293,0.267,3.361,4.90E+01,0.00635,1.53942,0.54,0.0714,89.08,185,5361,4.588,-0.16,0.774,0.848,13.241,13.827,13.184,12.99,12.932,11.946,11.483,11.424
FALSE POSITIVE,1.8789138,133.06338,0.536,4.279,3.02E+01,0.005224,0.13684,1.9,0.0379,79.51,714,8046,3.704,-0.06,3.339,2.06,12.95,13.082,12.906,12.938,12.885,12.172,12.105,12.043
CONFIRMED,41.8681996,146.9767,0.923,5.783,1.51E+02,0.013675,0.13559,1.25,0.2301,87.73,31,5852,4.559,-0.3,0.837,0.928,13.664,14.114,13.606,13.47,13.401,12.53,12.152,12.12
FALSE POSITIVE,0.514771509,131.94435,0.222,1.256,4.34E+01,0.006045,2.19652,0.57,0.0124,85.94,2592,5730,4.545,-0.06,0.87,0.968,14.198,14.704,14.125,13.982,13.889,12.969,12.631,12.555
CONFIRMED,8.61742738,133.50863,0.059,2.713,1.55E+02,0.011032,3.74749,1.01,0.0763,89.86,153,5009,4.491,0.16,0.84,0.797,14.79,15.496,14.743,14.488,14.309,13.255,12.76,12.643
FALSE POSITIVE,35.945188,146.6937,0.1278,8.23,7.26E+01,0.007877,0.54433,1.5,0.236,89.95,,6578,4.087,-0.06,1.744,1.36,11.628,11.89,11.577,11.515,11.525,10.725,10.546,10.478
FALSE POSITIVE,5.00749378,134.69035,0.206,2.898,5.66E+01,0.006848,1.66603,1.68,0.0534,89.09,268,5242,3.644,-0.72,2.243,0.808,12.938,13.526,12.9,12.686,12.546,11.573,11.151,11.055
CONFIRMED,196.436796,173.692,0.019,8.556,6.32E+02,0.022558,2.8272,2.33,0.6446,89.99,7,5462,4.452,0.16,0.946,0.924,15.139,15.713,15.091,14.893,14.827,13.875,13.502,13.4
CANDIDATE,8.8303681,134.80059,0.746,3.426,2.96E+02,0.017124,0.61621,1.32,0.0767,86.87,153,5051,4.628,-0.24,0.706,0.786,15.945,16.678,15.881,15.631,15.46,14.439,13.946,13.737
CANDIDATE,12.85755895,141.85597,0.55,4.831,1.07E+02,0.009747,0.5859,1.23,0.1045,88.17,82,5860,4.276,-0.2,1.156,0.922,13.821,14.297,13.794,13.617,13.518,12.681,12.327,12.248
FALSE POSITIVE,0.566810643,131.80277,0.315,3.471,4.56E+01,0.00626,0.15044,0.52,0.0126,76.68,2375,5776,4.598,-0.56,0.758,0.832,14.844,15.35,14.808,14.627,14.533,13.636,13.307,13.256
CANDIDATE,33.502923,158.6469,0.756,11.947,7.09E+01,0.008374,0.04941,1.08,0.1984,86.97,38,5999,4.263,-0.32,1.177,0.926,13.219,13.679,13.177,13.022,12.961,12.094,11.843,11.72
CANDIDATE,148.568877,139.60402,0.243,4.399,4.04E+02,0.018329,14.24321,5.97,0.6365,89.95,8,5814,3.68,0.34,2.985,1.556,14.744,15.092,14.688,14.595,14.569,13.734,13.48,13.47
CANDIDATE,9.3335486,137.6177,0.725,6.643,7.12E+01,0.008311,0.09394,1.69,0.0888,84.5,138,5354,3.927,0.14,1.863,1.071,14.276,14.893,14.228,14.012,13.884,12.924,12.525,12.461
FALSE POSITIVE,262.477098,173.1293,0.0753,5.816,1.02E+03,0.028333,12.13898,1.92,0.6821,89.95,,4227,4.641,-0.14,0.62,0.614,15.72,16.973,15.708,15.184,14.935,13.766,13.095,12.972
FALSE POSITIVE,2.21030572,133.57674,0.233,2.492,9.20E+01,0.008874,1.15442,1.06,0.0347,88,326,6355,4.418,-0.12,1.09,1.134,14.886,15.252,14.822,14.728,14.675,13.826,13.507,13.455
CANDIDATE,9.54060855,131.91276,0.031,1.869,4.62E+02,0.019272,13.03657,1.75,0.083,89.96,133,5271,4.522,0,0.831,0.839,15.836,16.54,15.794,15.534,15.429,14.489,14.086,13.894
FALSE POSITIVE,5.99321872,133.6359,0.02,3.92,2.03E+02,0.012997,0.87499,1.23,0.0638,89.9,143,5853,4.544,-0.18,0.868,0.961,15.512,16.061,15.465,15.276,15.165,14.208,13.945,13.861
CANDIDATE,1.80926734,132.6883,0.385,2.469,9.80E+01,0.009177,0.843,0.89,0.0289,85.81,738,5897,4.531,-0.16,0.891,0.983,15.186,15.711,15.14,14.961,14.884,13.927,13.606,13.493
FALSE POSITIVE,0.70544189,131.6954,0.328,1.772,1.34E+02,0.010659,1.0046,1.04,0.0155,83.68,1903,5838,4.529,-0.08,0.897,0.992,15.826,16.35,15.768,15.601,15.555,14.562,14.201,14.069
FALSE POSITIVE,0.981399749,132.12493,0.408,0.5051,1.58E+02,0.012319,51.21367,1.21,0.0192,88.3,1362,6038,4.524,-0.28,0.898,0.982,14.652,15.1,14.608,14.46,14.407,13.527,13.228,13.146
CANDIDATE,5.04413987,132.51986,0.727,1.623,1.72E+02,0.012998,3.51473,1.18,0.0533,87.52,262,4954,4.5,0.18,0.828,0.791,15.377,16.172,15.343,15.036,14.826,13.81,13.298,13.201
FALSE POSITIVE,0.933728755,131.54241,0.645,4.363,1.35E+01,0.00355,0.07124,0.72,0.0208,64.29,1444,6652,4.036,-0.16,1.863,1.378,10.959,11.448,10.989,,,9.989,9.823,9.785
FALSE POSITIVE,12.60759142,136.8554856,0.996,29.1267,7.95E+01,0.014678,0.0002,1.61,0.1089,33.09,110,6047,4.47,0,1.002,1.081,11.36,11.758,11.292,11.19,11.13,10.295,10.018,9.953
CANDIDATE,5.3694084,133.8117,0.837,3.949,4.00E+01,0.006556,0.13344,0.62,0.059,81.82,252,5753,4.538,-0.12,0.869,0.951,13.786,14.277,13.722,13.576,13.484,12.685,12.306,12.23
CANDIDATE,5.65690281,131.5761,0.014,3.583,3.22E+01,0.005131,1.05642,0.74,0.0619,89.93,234,5687,4.191,0.1,1.32,0.986,12.715,13.236,12.655,12.491,12.418,11.524,11.16,11.093
FALSE POSITIVE,0.734573766,131.59872,0.044,1.295,6.84E+01,0.007524,2.99146,0.86,0.0151,89.42,1822,5602,4.325,-0.14,1.051,0.851,14.617,15.224,14.576,14.357,14.247,13.312,12.918,12.899
FALSE POSITIVE,289.86046,258.5572,0.3711,11.103,2.35E+02,0.014163,1.50171,1.5,0.8494,89.95,,5914,4.451,-0.14,0.971,0.973,13.696,14.163,13.642,13.496,13.431,12.545,12.221,12.149
FALSE POSITIVE,357.13089,157.7985,0.1365,13.04,3.31E+02,0.016564,1.3891,1.62,0.9831,89.95,,5838,4.529,-0.08,0.897,0.992,15.271,15.774,15.22,15.056,15.006,14.103,13.694,13.654
FALSE POSITIVE,370.50684,150.8212,0.0647,12.132,4.19E+02,0.01886,1.83983,2.06,1.0251,89.95,,6360,4.458,-0.36,0.999,1.044,14.851,15.235,14.811,14.686,14.617,13.784,13.488,13.404
FALSE POSITIVE,1.332580225,132.03999,0.519,2.057,4.63E+01,0.006457,0.86326,2.18,0.0293,83.11,980,6858,3.731,0.08,3.096,1.88,13.922,14.185,13.861,13.81,,12.633,12.427,12.418
CANDIDATE,7.4299322,138.7701,0.826,4.013,1.65E+02,0.013269,0.19945,1.81,0.0738,84.32,142,5635,4.23,0.14,1.252,0.972,15.128,15.693,15.083,14.886,14.747,13.828,13.385,13.4
CANDIDATE,79.334347,144.0233,0.652,10.886,1.65E+02,0.012408,0.24091,1.56,0.3653,89.13,17,6384,4.33,-0.3,1.15,1.027,13.815,14.158,13.764,13.668,13.632,12.765,12.471,12.444
CANDIDATE,5.68251605,131.6745,0,3.479,8.12E+01,0.008164,1.16993,1.03,0.0627,90,233,5753,4.319,0.16,1.157,1.016,14.878,15.43,14.828,14.642,14.549,13.628,13.236,13.116
CONFIRMED,7.99144696,136.25855,0.94,3.639,1.45E+02,0.01394,0.07953,1.53,0.0783,81.62,167,5700,4.434,0.16,1.006,1.003,14.955,15.456,14.917,14.74,14.656,13.773,13.471,13.412
FALSE POSITIVE,2.9039446,133.8526,0.686,10.542,1.31E+01,0.003526,0.01186,1.17,0.0525,66.82,372,7846,3.829,0.56,3.05,2.29,9.162,9.202,9.148,9.242,9.327,8.696,8.639,8.606
FALSE POSITIVE,68.538296,186.21716,0.002,3.627,1.09E+03,0.029056,13.19739,25.77,0.3266,90,4,4687,2.613,-0.2,8.123,0.988,13.983,14.927,13.967,13.578,13.342,12.189,11.603,11.496
CANDIDATE,4.52628739,134.32065,0.5,3.736,9.96E+01,0.009313,0.49904,1.02,0.0536,86.48,291,5700,4.434,0.16,1.006,1.003,14.955,15.456,14.917,14.74,14.656,13.773,13.471,13.412
FALSE POSITIVE,369.7985,173.3282,0.1382,12.564,1.11E+03,0.030558,1.6751,2.53,0.9359,89.95,,5680,4.582,-0.56,0.757,0.797,15.696,16.267,15.663,15.452,15.319,14.323,13.936,13.814
FALSE POSITIVE,6.5588346,133.8215,0.7173,3.034,4.12E+01,0.006416,0.70207,0.7,0.0687,86.52,,5780,4.438,,1,1,10.609,11.135,10.553,10.383,,13.984,13.01,12.89
FALSE POSITIVE,0.643007769,131.68588,0.012,0.69,6.81E+01,0.007706,17.08677,0.35,0.011,89.9,2076,3925,4.825,-0.84,0.421,0.432,14.8,16.161,14.804,14.217,13.875,12.69,12.038,11.884
CANDIDATE,0.597018404,131.71277,0.44,0.4778,2.45E+02,0.015774,35.74532,1.09,0.0122,87.12,2237,4985,4.675,-0.54,0.63,0.688,15.509,16.234,15.459,15.198,15.04,14.041,13.548,13.399
FALSE POSITIVE,1.061937837,131.7269,0.125,2.31,5.20E+01,0.006582,0.75528,0.68,0.0206,87.98,2521,5893,4.505,0,0.941,1.033,14.171,14.634,14.102,13.973,13.916,12.986,12.688,12.596
CANDIDATE,4.82025124,134.81355,0.538,2.129,9.41E+01,0.009212,2.63056,0.78,0.0531,87.91,220,6035,4.591,-0.74,0.777,0.864,14.639,15.06,14.607,14.459,14.398,13.543,13.208,13.169
CANDIDATE,12.4019263,141.1769,0.924,4.043,2.11E+02,0.016357,0.12234,1.49,0.0984,84.69,86,5555,4.514,-0.28,0.832,0.824,15.355,15.923,15.303,15.111,15.003,13.996,13.585,13.615
CANDIDATE,152.823896,147.5443,0.119,7.734,4.56E+02,0.019703,2.89401,2.45,0.5895,89.96,8,6452,4.394,-0.12,1.137,1.167,15.408,15.787,15.365,15.245,15.209,14.352,14.029,14.054
FALSE POSITIVE,15.07277287,143.96955,0.891,0.7794,3.45E+02,0.020577,32.99834,1.73,0.1132,89.3,176,5521,4.594,-0.28,0.771,0.864,14.269,14.811,14.22,14.037,13.972,13.034,12.662,12.584
FALSE POSITIVE,1.71659304,131.6976,0.1534,1.154,1.38E+02,0.010881,9.4346,1.17,0.0285,89.38,775,6192,4.467,-0.22,0.987,1.037,14.971,15.422,14.931,14.778,14.707,13.804,13.518,13.538
CANDIDATE,6.80899076,132.19078,1.9253,2.077,1.19E+03,0.957505,0.30436,89.29,0.0655,77.92,40,4992,4.483,0.24,0.854,0.81,16.303,17.174,16.243,15.93,15.77,14.66,14.136,14.016
CANDIDATE,77.915425,160.9193,0.448,8.274,1.79E+02,0.012253,0.86728,1.17,0.3331,89.61,18,5135,4.464,0.12,0.874,0.812,14.316,15.062,14.252,13.997,13.863,12.852,12.359,12.232
FALSE POSITIVE,358.818895,416.5775,0.825,2.503,6.66E+02,0.026495,43.979,2.66,0.9572,89.93,4,6056,4.47,-0.46,0.918,0.908,13.919,14.356,13.883,13.732,13.665,12.818,12.526,12.506
FALSE POSITIVE,181.3537,190.4847,0.5983,16.19,4.55E+02,0.020295,0.20363,2.11,0.6407,89.38,,5900,4.509,0.07,0.951,1.065,15.914,16.427,15.829,15.693,15.597,14.665,14.266,14.038
CANDIDATE,284.727213,142.0923,0.316,10.299,3.55E+02,0.017149,1.98698,2.02,0.8224,89.91,6,5497,4.332,0.14,1.08,0.913,14.636,15.147,14.592,14.418,14.337,13.35,13.007,12.895
FALSE POSITIVE,3.74786694,134.17739,0.49,3.632,8.09E+01,0.008421,0.45818,0.89,0.0485,85.97,358,5957,4.498,0.07,0.971,1.083,13.567,14.002,13.48,13.38,13.303,12.403,12.11,12.035
CANDIDATE,30.5392931,156.7026,0.045,6.887,4.28E+02,0.01877,0.83181,2.72,0.1942,89.93,37,5803,4.211,0.14,1.328,1.046,15.271,15.751,15.224,15.065,14.97,14.161,13.812,13.768
FALSE POSITIVE,0.913244995,132.18552,0.286,0.4931,4.78E+01,0.006722,57.96823,0.77,0.0185,88.8,1463,5923,4.402,-0.02,1.049,1.013,13.343,13.797,13.277,13.148,13.101,12.161,11.868,11.761
FALSE POSITIVE,2.97599368,132.9759,0.243,4.023,5.50E+01,0.006846,0.3663,0.79,0.0406,87.49,455,6202,4.394,-0.24,1.055,1.003,14.11,14.522,14.067,13.933,13.874,13.001,12.677,12.65
CANDIDATE,8.31224474,139.67706,1.111,2.663,7.08E+01,0.119294,0.0113,10.63,0.0726,71.25,155,5421,4.483,-0.4,0.816,0.739,13.019,13.61,12.978,12.765,12.656,11.688,11.245,11.2
FALSE POSITIVE,0.584148495,131.84461,0.584,1.6192,6.62E+01,0.007715,0.75374,0.87,0.013,75.84,1146,5427,4.347,0.06,1.031,0.861,13.949,14.574,13.876,13.681,13.559,12.561,12.181,12.077
CANDIDATE,12.6362048,134.4588,0.174,3.961,1.24E+02,0.010119,1.69077,1.1,0.1072,89.59,106,5772,4.457,0.14,0.992,1.028,14.241,14.739,14.182,14.027,13.941,13.075,12.702,12.65
FALSE POSITIVE,0.824180121,132.10276,1.171,2.839,2.08E+02,0.184616,0.05337,17.8,0.0168,19.52,1619,5977,4.514,-0.36,0.883,0.929,14.638,15.126,14.595,14.428,14.348,13.405,13.081,13.015
FALSE POSITIVE,0.579770948,132.081304,0.946,1.0377,4.68E+02,0.025773,0.41666,2.4,0.0135,60.95,2296,5561,4.561,0.07,0.854,0.968,15.298,15.884,15.233,15.047,14.96,14.011,13.598,13.527
CANDIDATE,23.266633,132.4386,0.092,8.315,4.99E+01,0.006462,0.34402,2.66,0.1821,89.75,59,5758,3.456,-0.56,3.775,1.487,13.047,13.445,12.987,12.877,12.805,11.9,11.653,11.592
FALSE POSITIVE,0.92225589,131.8088,0.992,4.227,3.30E+01,0.007939,0.02514,1.29,0.0188,17.8,1466,5631,4.114,0.24,1.485,1.046,12.352,12.793,12.296,12.163,,11.144,10.788,10.737
CANDIDATE,7.94004281,135.4315,0.004,3.282,8.19E+01,0.008315,1.94524,0.98,0.0813,89.99,134,6278,4.425,-0.06,1.081,1.132,13.757,14.129,13.698,13.598,13.538,12.719,12.471,12.434
CANDIDATE,2.85855049,132.28415,0.972,2.341,8.54E+01,0.011676,0.04998,1.23,0.0378,69.56,469,5441,4.415,0.08,0.964,0.881,14.636,15.193,14.584,14.41,14.315,13.423,13.017,12.954
FALSE POSITIVE,0.75499096,131.8315,0.322,2.485,2.16E+02,0.01349,0.41657,1.39,0.016,82.05,227,5743,4.466,-0.04,0.946,0.953,15.708,16.264,15.648,15.47,15.354,14.435,14.051,13.962
FALSE POSITIVE,353.40191,403.2834,0.4702,6.681,9.48E+02,0.028255,7.64137,2.35,0.8982,89.95,,4957,4.561,0,0.763,0.772,15.687,16.515,15.639,15.332,15.197,14.143,13.639,13.636
CANDIDATE,8.95294046,134.33731,0.718,2.995,4.40E+01,0.006519,0.99211,0.86,0.0839,87.45,153,6047,4.266,-0.22,1.207,0.98,11.458,12.275,11.427,11.109,,11.254,11,10.956
FALSE POSITIVE,1.428596987,132.79165,0.7017,2.1401,5.00E+01,0.006925,0.49757,1.62,0.0273,79.07,1402,6745,3.901,-0.28,2.144,1.336,12.619,12.883,12.576,12.505,12.486,11.643,11.492,11.414
CANDIDATE,4.84350003,134.81488,0.906,3.045,5.02E+01,0.007775,0.1308,0.9,0.0543,80.44,280,5762,4.348,-0.14,1.056,0.906,13.59,14.087,13.541,13.377,13.327,12.374,12.085,12.026
CANDIDATE,45.163025,159.8536,0.2057,7.03,1.30E+02,0.010664,1.06394,2.35,0.2944,89.95,,7675,4.051,-0.12,2.015,1.665,11.069,11.139,11.046,11.097,11.175,10.477,10.386,10.351
CANDIDATE,36.7614011,137.7551,0.984,15.982,1.61E+02,0.01687,0.0014,1.52,0.2,77.77,32,5305,4.504,-0.16,0.823,0.789,15.598,15.483,15.637,14.638,14.451,12.895,12.549,12.545
CANDIDATE,4.373570433,133.82814,0.1,0.623,3.66E+02,0.017534,158.43057,1.23,0.0448,89.89,306,4362,4.623,-0.18,0.64,0.627,15.194,16.341,15.152,14.702,14.434,13.24,12.59,12.438
FALSE POSITIVE,2.21701025,131.80305,0.0662,2.148,2.94E+01,0.005058,1.9175,1.16,0.041,89.38,605,7524,4.067,0.36,2.092,1.863,12.734,12.886,12.684,12.693,12.721,12.015,11.921,11.897
FALSE POSITIVE,43.0759115,160.13883,1.256,90.95,3.45E+03,0.330482,0.00009,213.46,0.2453,52.57,26,4766,2.919,-0.06,5.915,1.059,9.927,10.761,9.855,9.569,9.325,8.257,7.736,7.635
CANDIDATE,154.674369,177.3621,0.777,9.35,4.36E+02,0.020904,0.4641,2.29,0.5698,89.47,7,6338,4.449,-0.36,1.002,1.023,15.015,15.42,14.99,14.841,14.807,13.967,13.682,13.585
FALSE POSITIVE,372.62637,307.8836,0.5353,18.52,5.42E+02,0.021943,0.32615,2.38,1.0472,89.95,,6014,4.486,0.07,0.993,1.101,15.412,15.912,15.351,15.197,15.125,14.23,13.892,13.722
FALSE POSITIVE,1.02087831,131.66089,0.148,2.429,3.34E+01,0.005259,0.6218,0.64,0.0196,87.39,1312,5750,4.337,0.04,1.106,0.968,14.103,14.643,14.041,13.871,13.775,12.892,12.539,12.437
FALSE POSITIVE,1.26132769,132.4274,0.289,1.244,1.10E+02,0.009772,5.05732,0.14,0.0108,87.8,1059,2900,5.224,0,0.132,0.107,15.918,17.219,15.904,15.359,,11.201,10.647,10.311
FALSE POSITIVE,6.09406648,133.65981,1.235,2.085,3.03E+03,0.299764,0.38497,54.54,0.0743,82.21,222,6785,4.162,0.18,1.666,1.47,9.58,9.96,9.589,,,8.913,8.779,8.753
FALSE POSITIVE,1.1578141,132.43684,0.564,3.253,5.48E+01,0.006983,0.19234,1.24,0.0204,76.35,1158,5412,3.941,-0.38,1.629,0.845,13.548,14.16,13.498,13.286,13.119,12.137,11.759,11.636
CANDIDATE,15.9513866,146.45425,0.197,2.285,9.92E+01,0.00921,10.93874,1.17,0.1311,89.79,84,6451,4.375,-0.08,1.168,1.181,13.629,13.961,13.574,13.487,13.439,12.647,12.408,12.365
FALSE POSITIVE,0.566800926,131.81666,0.971,4.407,2.65E+02,0.020096,0.06592,2.19,0.0134,20.83,2356,5780,4.438,0,1,1,10.624,11.229,10.559,10.365,,13.476,12.599,12.069
FALSE POSITIVE,24.1876477,145.8464,1.8212,2.654,1.95E+02,0.830494,0.07059,118.8,0.1728,81.93,55,6437,4.273,-0.1,1.31,1.175,13.544,13.895,13.488,13.394,13.326,12.466,12.24,12.168
CANDIDATE,7.7859111,137.8734,0.675,7.788,4.55E+01,0.006544,0.05953,0.68,0.0769,83.26,174,6045,4.479,-0.18,0.954,0.994,13.515,13.935,13.467,13.336,13.304,12.427,12.129,12.109
FALSE POSITIVE,2.44926655,132.82121,0.253,2.988,1.08E+02,0.009284,0.73324,0.76,0.032,87.64,438,4840,4.551,-0.04,0.749,0.727,15.238,16.109,15.2,14.864,14.697,13.697,13.17,13.066
FALSE POSITIVE,2.17812826,132.03068,0.344,2.601,1.01E+02,0.009175,0.90635,0.81,0.0317,86.76,616,5426,4.579,-0.06,0.805,0.903,15.613,16.24,15.553,15.345,15.239,14.275,13.802,13.724
CANDIDATE,31.183688,155.9588,0.8319,6.14,1.40E+02,0.012202,0.21878,3.21,0.2158,87.66,,5947,3.814,0.18,2.407,1.378,13.931,14.527,13.878,13.676,13.553,12.604,12.303,12.227
FALSE POSITIVE,1.33259494,132.0286,0.104,2.783,9.27E+01,0.008846,0.54738,0.89,0.0237,88.4,1010,6063,4.51,-0.26,0.918,0.994,15.165,15.629,15.124,14.966,14.898,13.998,13.708,13.643
FALSE POSITIVE,2.05048377,133.2849,0.013,3.67,6.05E+01,0.007054,0.36722,0.66,0.0287,89.83,651,5568,4.451,-0.46,0.854,0.752,14.352,14.903,14.317,14.116,14.02,13.085,12.752,12.659
FALSE POSITIVE,1.19550618,132.3006,0.483,3.337,2.69E+01,0.004868,0.21009,0.78,0.0228,78.92,1132,6088,4.15,-0.02,1.463,1.103,13.45,13.915,13.4,13.25,13.189,12.323,12.025,11.963
CANDIDATE,2.94242323,133.86084,0.447,1.519,2.93E+02,0.015869,5.4021,1.42,0.039,88.11,383,5436,4.573,0,0.819,0.919,15.907,16.555,15.837,15.63,15.49,14.512,14.062,13.896
FALSE POSITIVE,0.683082998,131.73271,0.694,4.409,1.43E+02,0.011709,0.07083,9.92,0.0225,54.82,985,8247,3.17,0.07,7.762,3.253,8.163,8.1,8.184,8.343,8.438,7.789,7.775,7.734
FALSE POSITIVE,0.791771167,131.523083,1.224,2.4463,5.09E+02,0.246702,0.07675,82.71,0.0198,26.29,1645,6218,3.678,0.24,3.07,1.639,13.852,14.599,13.812,13.531,,13.557,13.243,13.205
FALSE POSITIVE,0.894172544,131.51006,0.162,0.8302,8.62E+01,0.00842,13.10202,0.68,0.0167,88.87,1494,4982,4.591,-0.08,0.736,0.771,14.251,14.997,14.181,13.932,13.789,12.72,12.227,12.185
FALSE POSITIVE,1.68207624,132.12513,0.56,1.519,5.47E+01,0.007065,2.4141,1.01,0.0274,85.49,638,6495,4.191,-0.64,1.311,0.972,13.753,14.106,13.73,13.603,13.554,12.672,12.402,12.396
FALSE POSITIVE,9.8480917,136.80247,0.127,3.079,1.42E+02,0.01076,2.87124,0.88,0.0805,89.7,136,5289,4.546,-0.44,0.748,0.717,14.791,15.43,14.743,14.517,14.382,13.445,12.944,12.847
FALSE POSITIVE,0.566800593,131.8233,0.2,3.909,1.23E+01,0.003239,0.12008,0.48,0.0143,80.91,2375,6476,4.255,-0.1,1.353,1.202,12.318,12.593,12.256,12.2,12.199,11.404,11.183,11.161
FALSE POSITIVE,0.969602551,131.93121,0.415,1.728,1.11E+02,0.009636,1.29105,0.69,0.017,84.06,554,4856,4.643,-0.34,0.66,0.701,15.522,16.461,15.476,15.257,15.132,14.183,13.767,13.739
CANDIDATE,13.0914878,143.75198,0.145,2.037,3.75E+01,0.005595,12.87597,0.79,0.1104,89.83,103,5919,4.238,0.04,1.288,1.048,11.993,12.39,11.924,11.823,11.783,10.912,10.604,10.57
FALSE POSITIVE,9.25801294,132.88335,0.186,2.854,8.81E+01,0.00865,3.2733,1.73,0.0908,89.57,146,6200,3.977,-0.16,1.834,1.162,13.49,13.963,13.46,13.288,13.225,12.314,12.05,11.989
FALSE POSITIVE,25.9554044,148.7989,0.952,8.491,1.23E+02,0.012861,0.01504,1.46,0.172,83.27,41,6058,4.408,-0.16,1.038,1.004,14.145,14.597,14.085,13.952,13.837,13.027,12.682,12.645
FALSE POSITIVE,3.74788208,134.1709,0.09,4.183,1.53E+02,0.011137,0.44614,0.94,0.045,89.25,357,5340,4.593,-0.12,0.777,0.871,15.527,16.184,15.481,15.245,15.175,14.135,13.678,13.658
FALSE POSITIVE,0.93479255,131.88578,1.2,4.5838,2.48E+02,0.215214,0.0414,24.75,0.0178,14.74,1435,6018,4.33,-0.5,1.053,0.864,14.198,14.661,14.162,14,13.895,13.034,12.732,12.683
FALSE POSITIVE,361.43653,421.747,0.2175,9.08,2.72E+02,0.015211,3.97132,1.56,0.9233,89.95,,6028,4.398,-0.74,0.938,0.802,13.791,14.215,13.766,13.609,13.552,12.717,12.388,12.328
FALSE POSITIVE,0.89628253,131.54972,0.176,1.397,8.64E+01,0.008471,2.77587,0.76,0.0176,87.94,1493,5561,4.572,-0.12,0.818,0.915,15.248,15.817,15.135,15.004,14.866,13.759,13.278,13.223
FALSE POSITIVE,1.67495622,131.8099,0.399,2.994,3.59E+01,0.005588,0.43157,0.77,0.0289,84.27,797,6323,4.296,-0.04,1.263,1.15,13.363,13.736,13.311,13.203,13.168,12.326,12.089,12.019
CANDIDATE,54.0812235,145.2689,0.182,6.279,4.11E+02,0.018566,1.85478,1.54,0.264,89.84,27,5757,4.597,-0.5,0.762,0.865,15.487,16.024,15.45,15.256,15.146,14.264,13.871,13.809
FALSE POSITIVE,8.2344072,137.4733,0.812,2.808,5.92E+01,0.007838,0.67359,1.49,0.0803,86.53,256,6148,3.964,-0.46,1.741,1.016,12.88,13.286,12.838,12.706,12.652,11.832,11.566,11.529
FALSE POSITIVE,2.15052332,132.3132,0.0303,3.447,1.16E+02,0.010746,0.46688,1.17,0.0327,89.38,494,5780,4.438,,1,1,13.322,13.201,13.243,13.373,,15.152,14.765,15.062
FALSE POSITIVE,32.6122381,144.55067,1.252,2.886,1.32E+03,0.292665,0.37929,31.96,0.2002,87.41,29,5780,4.438,0,1,1,11.486,11.847,11.413,11.331,,15.458,14.764,14.689
FALSE POSITIVE,0.967073359,131.604602,1.222,2.4875,7.74E+02,0.252275,0.06517,28.15,0.0189,34.18,1108,5755,4.402,0,1.022,0.96,15.12,15.693,15.05,14.875,14.755,13.79,13.444,13.385
FALSE POSITIVE,3.5564279,133.5377,0.359,6.998,1.31E+02,0.010518,0.07732,0.8,0.0417,84.47,305,5404,4.638,-0.5,0.694,0.789,15.927,16.534,15.879,15.666,15.516,14.561,14.073,14.005
FALSE POSITIVE,0.942997994,132.24469,0.153,1.1658,5.39E+02,0.020573,5.22995,1.56,0.0166,88.6,1105,4499,4.59,0,0.693,0.681,15.878,16.939,15.824,15.423,15.119,13.927,13.303,13.205
FALSE POSITIVE,0.566796775,131.83811,0.974,5.471,1.44E+02,0.015523,0.06025,0.61,0.0096,14.79,2372,3453,4.892,0,0.358,0.364,15.51,17.195,15.885,14.787,14.246,12.911,12.277,12.065
CONFIRMED,13.6471211,132.2552,0.617,8.331,7.50E+01,0.008279,0.10188,1.25,0.1075,86.47,99,5771,4.106,-0.3,1.382,0.89,13.897,14.44,13.855,13.665,13.557,12.592,12.271,12.218
CONFIRMED,16.473474,142.68604,0.014,4.201,4.71E+02,0.019767,1.98837,1.63,0.1126,89.97,66,5364,4.529,-0.54,0.754,0.702,15.889,16.563,15.873,15.6,15.406,14.419,13.83,13.836
